code,id,price,stop_price,updated_at,asset_type,order_type,currency,quantity,pnl,pnl_net,exit_at,exit_price
XRP/USDT,1,0.17149,,2020-03-27 06:30:00+08:00,Crypto,OrderType.MARKET,USD,325058.3,3367.6039880000026,-55.744248,2020-04-03 19:00:00+08:00,0.18185
XRP/USDT,4,0.20289,,2020-05-18 05:00:00+08:00,Crypto,OrderType.MARKET,USD,274751.1,601.7049090000069,-55.744251,2020-06-05 07:30:00+08:00,0.20508
XRP/USDT,7,0.19158,,2020-06-16 09:00:00+08:00,Crypto,OrderType.MARKET,USD,290971.1,2214.2900710000013,-55.744243,2020-07-13 03:00:00+08:00,0.19919
XRP/USDT,10,0.27996,,2020-08-27 00:00:00+08:00,Crypto,OrderType.MARKET,USD,199115.0,-6242.255249999997,-55.744235,2020-10-08 07:00:00+08:00,0.24861
XRP/USDT,13,0.23586,,2020-11-03 03:00:00+08:00,Crypto,OrderType.MARKET,USD,234207.6,6220.553856,-55.240205,2020-11-14 01:00:00+08:00,0.26242
XRP/USDT,16,0.45777,,2020-12-16 14:30:00+08:00,Crypto,OrderType.MARKET,USD,121773.5,-20219.271940000002,-55.744255,2021-01-16 21:30:00+08:00,0.29173
XRP/USDT,19,0.26198,,2021-01-28 21:30:00+08:00,Crypto,OrderType.MARKET,USD,156682.6,52305.352358,-41.047708,2021-02-01 12:30:00+08:00,0.59581
XRP/USDT,22,0.4257,,2021-03-01 15:00:00+08:00,Crypto,OrderType.MARKET,USD,130947.2,0.0,-55.744223,,
