date,available_cash,holding_value,assets_value,position_count,pct_returns,pnl_daily_net,cumsum,benchmark_pct,benchmark
2020-12-01 00:00:00,55800.0,0.0,55800.0,0,,,,,
2020-12-01 00:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.01713173928626277,-0.01713173928626277
2020-12-01 01:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.004747244274968088,-0.012384495011294683
2020-12-01 01:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.005499408166831143,-0.006885086844463539
2020-12-01 02:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.007903122679646768,-0.014788209524110307
2020-12-01 02:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.0033549320619762346,-0.018143141586086542
2020-12-01 03:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.006472226944614468,-0.011670914641472074
2020-12-01 03:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.0020678874335553488,-0.013738802075027423
2020-12-01 04:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.00815421407498862,-0.005584588000038804
2020-12-01 04:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.0011562015406063608,-0.004428386459432443
2020-12-01 05:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.0002855014640309461,-0.004713887923463389
2020-12-01 05:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.0027107229469284233,-0.007424610870391812
2020-12-01 06:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-1.0835214446891506e-05,-0.007435446084838704
2020-12-01 06:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.006137441540804867,-0.0012980045440338372
2020-12-01 07:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.006131285195530856,0.004833280651497018
2020-12-01 07:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.0038899974770063572,0.008723278128503376
2020-12-01 08:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.0007341640658675708,0.007989114062635805
2020-12-01 08:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.005890838105603091,0.0020982759570327136
2020-12-01 09:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.0032485802794413043,-0.0011503043224085907
2020-12-01 09:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.005324606666731624,0.004174302344323033
2020-12-01 10:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.0014857886079340243,0.0056600909522570575
2020-12-01 10:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.002346334686028184,0.008006425638285242
2020-12-01 11:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.005875224519141686,0.0021312011191435554
2020-12-01 11:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.007440716533130942,-0.005309515413987387
2020-12-01 12:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.0009068092569723962,-0.004402706157014991
2020-12-01 12:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.004272187309483866,-0.008674893466498856
2020-12-01 13:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.004361819150359603,-0.004313074316139254
2020-12-01 13:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.0023149660497367996,-0.001998108266402454
2020-12-01 14:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.0009279537337049115,-0.0029260620001073656
2020-12-01 14:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.006540238830966438,-0.009466300831073804
2020-12-01 15:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.005670083368065848,-0.003796217463007956
2020-12-01 15:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.003477994383995542,-0.0003182230790124141
2020-12-01 16:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.0005088229280838519,0.0001905998490714378
2020-12-01 16:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.0029996578843320965,-0.0028090580352606587
2020-12-01 17:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.0008876564892673633,-0.003696714524528022
2020-12-01 17:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.005927594807326297,0.0022308802827982754
2020-12-01 18:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.009864554050600605,0.01209543433339888
2020-12-01 18:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.00093582346391341,0.01115961086948547
2020-12-01 19:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.020973164987378112,-0.009813554117892642
2020-12-01 19:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.005148117695212173,-0.004665436422680469
2020-12-01 20:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.037159330759330755,-0.041824767182011224
2020-12-01 20:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.008117870864740695,-0.04994263804675192
2020-12-01 21:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.008920105544879764,-0.041022532501872155
2020-12-01 21:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.00229205479774075,-0.038730477704131405
2020-12-01 22:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.004703159373828925,-0.03402731833030248
2020-12-01 22:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.0232041027251757,-0.01082321560512678
2020-12-01 23:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.006724289109171666,-0.004098926495955113
2020-12-01 23:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.007809429724146222,-0.011908356220101335
2020-12-02 00:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.014297602132960052,-0.026205958353061387
2020-12-02 00:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.0037313138069143825,-0.022474644546147005
2020-12-02 01:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.006573866140575535,-0.02904851068672254
2020-12-02 01:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.006596241267467162,-0.022452269419255377
2020-12-02 02:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.009736913906728817,-0.032189183325984194
2020-12-02 02:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.007100683893194737,-0.03928986721917893
2020-12-02 03:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.008713995865267998,-0.030575871353910933
2020-12-02 03:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.008870967315289136,-0.021704904038621797
2020-12-02 04:00:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,-0.004370787512605112,-0.02607569155122691
2020-12-02 04:30:00,55800.0,0.0,55800.0,0,0.0,0.0,0.0,0.001995108087666786,-0.024080583463560123
