code,id,price,stop_price,updated_at,asset_type,order_type,currency,quantity,pnl,pnl_net,exit_at,exit_price
BTC/USDT,1,28355.01,,2020-12-31 21:00:00+08:00,Crypto,OrderType.MARKET,USD,1.96594,322.88598560000315,-55.744248,2020-12-31 22:00:00+08:00,28519.25
BTC/USDT,4,28371.51,,2020-12-31 22:30:00+08:00,Crypto,OrderType.MARKET,USD,1.972229,1489.4273408000015,-55.955115,2021-01-01 05:00:00+08:00,29126.71
BTC/USDT,7,29033.9,,2021-01-01 16:00:00+08:00,Crypto,OrderType.MARKET,USD,1.97458,332.3415597999954,-57.329758,2021-01-01 17:30:00+08:00,29202.21
BTC/USDT,10,29055.08,,2021-01-02 03:00:00+08:00,Crypto,OrderType.MARKET,USD,1.980614,711.1988751199963,-57.546898,2021-01-02 10:00:00+08:00,29414.16
BTC/USDT,13,31615.18,,2021-01-03 05:00:00+08:00,Crypto,OrderType.MARKET,USD,1.75754,3176.5777960000028,-58.141675,2021-01-04 00:30:00+08:00,33422.58
BTC/USDT,13,31615.18,,2021-01-03 05:00:00+08:00,Crypto,OrderType.MARKET,USD,0.08150299999999988,105.32877198999999,-58.141675,2021-01-04 02:00:00+08:00,32907.51
BTC/USDT,14,31615.18,30350.5728,2021-01-03 05:00:00+08:00,Crypto,OrderType.STOP,USD,1.6906850000000002,2184.9229460500032,-58.141675,2021-01-04 02:00:00+08:00,32907.51
BTC/USDT,14,31615.18,30350.5728,2021-01-03 05:00:00+08:00,Crypto,OrderType.STOP,USD,0.14835799999999977,272.8348127399994,-58.141675,2021-01-04 11:00:00+08:00,33454.21
BTC/USDT,15,33015.19,,2021-01-03 23:00:00+08:00,Crypto,OrderType.MARKET,USD,1.6277230000000003,714.6029514599949,-58.025517,2021-01-04 11:00:00+08:00,33454.21
BTC/USDT,15,33015.19,,2021-01-03 23:00:00+08:00,Crypto,OrderType.MARKET,USD,0.12981699999999985,-125.92768267999996,-58.025517,2021-01-04 17:00:00+08:00,32045.15
BTC/USDT,18,33080.11,,2021-01-04 01:00:00+08:00,Crypto,OrderType.MARKET,USD,1.7206560000000002,-1780.8101337599987,-58.624174,2021-01-04 17:00:00+08:00,32045.15
BTC/USDT,18,33080.11,,2021-01-04 01:00:00+08:00,Crypto,OrderType.MARKET,USD,0.05153199999999991,-105.21597631999992,-58.624174,2021-01-04 18:00:00+08:00,31038.35
BTC/USDT,21,32769.76,,2021-01-04 02:30:00+08:00,Crypto,OrderType.MARKET,USD,1.776081,-3075.124404210006,-58.201748,2021-01-04 18:00:00+08:00,31038.35
BTC/USDT,24,32045.14,,2021-01-04 16:30:00+08:00,Crypto,OrderType.MARKET,USD,0.07905000000000006,-79.58674950000014,-59.298666,2021-01-04 18:00:00+08:00,31038.35
BTC/USDT,24,32045.14,,2021-01-04 16:30:00+08:00,Crypto,OrderType.MARKET,USD,1.771423,-1283.9982473200002,-59.298666,2021-01-05 01:00:00+08:00,31320.3
BTC/USDT,27,31038.63,,2021-01-04 17:30:00+08:00,Crypto,OrderType.MARKET,USD,0.17949499999999996,50.55835664999967,-59.180207,2021-01-05 01:00:00+08:00,31320.3
BTC/USDT,27,31038.63,,2021-01-04 17:30:00+08:00,Crypto,OrderType.MARKET,USD,1.727168,2219.445423360001,-59.180207,2021-01-05 08:00:00+08:00,32323.65
BTC/USDT,30,30270.76,,2021-01-04 18:30:00+08:00,Crypto,OrderType.MARKET,USD,0.23906399999999994,490.77209496000063,-59.061461,2021-01-05 08:00:00+08:00,32323.65
BTC/USDT,30,30270.76,,2021-01-04 18:30:00+08:00,Crypto,OrderType.MARKET,USD,1.712042,2613.1239454400056,-59.061461,2021-01-05 20:30:00+08:00,31797.08
BTC/USDT,31,30270.76,29059.9296,2021-01-04 18:30:00+08:00,Crypto,OrderType.STOP,USD,0.36537399999999987,557.677643680001,-59.061461,2021-01-05 20:30:00+08:00,31797.08
BTC/USDT,31,30270.76,29059.9296,2021-01-04 18:30:00+08:00,Crypto,OrderType.STOP,USD,1.5857320000000001,3284.9548392400056,-59.061461,2021-01-05 22:30:00+08:00,32342.33
BTC/USDT,32,30213.19,,2021-01-04 19:00:00+08:00,Crypto,OrderType.MARKET,USD,0.5059199999999997,1077.174508800001,-58.943456,2021-01-05 22:30:00+08:00,32342.33
BTC/USDT,32,30213.19,,2021-01-04 19:00:00+08:00,Crypto,OrderType.MARKET,USD,1.4449980000000002,8384.87544462,-58.943456,2021-01-07 04:30:00+08:00,36015.88
BTC/USDT,35,31014.27,,2021-01-05 05:30:00+08:00,Crypto,OrderType.MARKET,USD,0.47189499999999973,2360.2347509499973,-60.98125,2021-01-07 04:30:00+08:00,36015.88
BTC/USDT,35,31014.27,,2021-01-05 05:30:00+08:00,Crypto,OrderType.MARKET,USD,1.4943370000000002,10173.177315339995,-60.98125,2021-01-07 19:30:00+08:00,37822.09
BTC/USDT,38,30532.55,,2021-01-05 14:00:00+08:00,Crypto,OrderType.MARKET,USD,0.36128099999999974,2633.572300739997,-63.428808,2021-01-07 19:30:00+08:00,37822.09
BTC/USDT,38,30532.55,,2021-01-05 14:00:00+08:00,Crypto,OrderType.MARKET,USD,1.7161350000000002,13984.49237205,-63.428808,2021-01-08 10:00:00+08:00,38681.38
BTC/USDT,41,31517.56,,2021-01-05 22:00:00+08:00,Crypto,OrderType.MARKET,USD,0.07481899999999975,535.9898485799979,-65.923767,2021-01-08 10:00:00+08:00,38681.38
BTC/USDT,41,31517.56,,2021-01-05 22:00:00+08:00,Crypto,OrderType.MARKET,USD,1.859466,14579.663823479992,-65.923767,2021-01-08 17:30:00+08:00,39358.34
BTC/USDT,41,31517.56,,2021-01-05 22:00:00+08:00,Crypto,OrderType.MARKET,USD,0.15736700000000003,1392.3092535099995,-65.923767,2021-01-09 04:00:00+08:00,40365.09
BTC/USDT,44,35220.4,,2021-01-07 04:00:00+08:00,Crypto,OrderType.MARKET,USD,1.672256,8603.23872063999,-67.513738,2021-01-09 04:00:00+08:00,40365.09
BTC/USDT,44,35220.4,,2021-01-07 04:00:00+08:00,Crypto,OrderType.MARKET,USD,0.244637,1222.5734075,-67.513738,2021-01-09 11:30:00+08:00,40217.9
BTC/USDT,47,37130.84,,2021-01-07 14:30:00+08:00,Crypto,OrderType.MARKET,USD,1.642382,5070.131776920008,-68.900655,2021-01-09 11:30:00+08:00,40217.9
BTC/USDT,47,37130.84,,2021-01-07 14:30:00+08:00,Crypto,OrderType.MARKET,USD,0.21323599999999998,436.813946,-68.900655,2021-01-09 14:30:00+08:00,39179.34
BTC/USDT,50,39109.38,,2021-01-08 04:30:00+08:00,Crypto,OrderType.MARKET,USD,1.714225,119.92718099999851,-70.043101,2021-01-09 14:30:00+08:00,39179.34
BTC/USDT,50,39109.38,,2021-01-08 04:30:00+08:00,Crypto,OrderType.MARKET,USD,0.07672899999999983,149.71209021999968,-70.043101,2021-01-09 19:00:00+08:00,41060.56
BTC/USDT,53,37181.74,,2021-01-08 10:30:00+08:00,Crypto,OrderType.MARKET,USD,1.83692,7125.0820344,-69.138181,2021-01-09 19:00:00+08:00,41060.56
BTC/USDT,53,37181.74,,2021-01-08 10:30:00+08:00,Crypto,OrderType.MARKET,USD,0.022545999999999955,48.34606417999994,-69.138181,2021-01-10 19:30:00+08:00,39326.07
BTC/USDT,56,39920.39,,2021-01-09 02:30:00+08:00,Crypto,OrderType.MARKET,USD,1.829623,-1087.3815413599996,-73.039264,2021-01-10 19:30:00+08:00,39326.07
BTC/USDT,59,39059.15,,2021-01-09 04:30:00+08:00,Crypto,OrderType.MARKET,USD,0.14274600000000004,38.101762319999764,-73.705358,2021-01-10 19:30:00+08:00,39326.07
BTC/USDT,59,39059.15,,2021-01-09 04:30:00+08:00,Crypto,OrderType.MARKET,USD,1.744273,302.823235530001,-73.705358,2021-01-11 01:00:00+08:00,39232.76
BTC/USDT,62,39295.37,,2021-01-09 13:30:00+08:00,Crypto,OrderType.MARKET,USD,0.222904,-13.95601944000013,-75.740293,2021-01-11 01:00:00+08:00,39232.76
BTC/USDT,62,39295.37,,2021-01-09 13:30:00+08:00,Crypto,OrderType.MARKET,USD,1.704557,-1233.1106249400095,-75.740293,2021-01-11 02:00:00+08:00,38571.95
BTC/USDT,65,39383.27,,2021-01-09 15:00:00+08:00,Crypto,OrderType.MARKET,USD,0.29232899999999984,-237.17236427999978,-75.365755,2021-01-11 02:00:00+08:00,38571.95
BTC/USDT,65,39383.27,,2021-01-09 15:00:00+08:00,Crypto,OrderType.MARKET,USD,1.62132,-1835.6909303999903,-75.365755,2021-01-11 03:30:00+08:00,38251.05
