datetime,open,high,low,close,volume,lot_size
2020-02-27 00:00:00+08:00,0.2342,0.23531,0.225,0.23094,24604046.6,0.1
2020-02-27 00:30:00+08:00,0.231,0.23215,0.22271,0.22899,25535723.4,0.1
2020-02-27 01:00:00+08:00,0.22916,0.2305,0.22745,0.22859,9714180.1,0.1
2020-02-27 01:30:00+08:00,0.2286,0.23076,0.22642,0.23006,9404736.0,0.1
2020-02-27 02:00:00+08:00,0.23013,0.23395,0.22956,0.23246,9381488.6,0.1
2020-02-27 02:30:00+08:00,0.23245,0.23607,0.23229,0.23594,8149564.8,0.1
2020-02-27 03:00:00+08:00,0.23583,0.23591,0.23087,0.23196,10176037.4,0.1
2020-02-27 03:30:00+08:00,0.23181,0.2343,0.2317,0.23384,4143850.9,0.1
2020-02-27 04:00:00+08:00,0.23387,0.23613,0.23275,0.23609,4721659.8,0.1
2020-02-27 04:30:00+08:00,0.23609,0.23609,0.23366,0.23512,5169351.7,0.1
2020-02-27 05:00:00+08:00,0.23504,0.23586,0.23415,0.23426,2229986.6,0.1
2020-02-27 05:30:00+08:00,0.23428,0.2344,0.23059,0.23122,3578507.2,0.1
2020-02-27 06:00:00+08:00,0.23122,0.23369,0.22938,0.23339,5514741.7,0.1
2020-02-27 06:30:00+08:00,0.23331,0.23495,0.23255,0.23259,1924989.2,0.1
2020-02-27 07:00:00+08:00,0.23258,0.23454,0.23229,0.23351,2463623.3,0.1
2020-02-27 07:30:00+08:00,0.23361,0.23397,0.22824,0.22915,4803602.7,0.1
2020-02-27 08:00:00+08:00,0.22917,0.22936,0.2252,0.22725,8477091.0,0.1
2020-02-27 08:30:00+08:00,0.22716,0.22794,0.22513,0.22651,8812115.9,0.1
2020-02-27 09:00:00+08:00,0.22643,0.22714,0.22363,0.22663,9462179.1,0.1
2020-02-27 09:30:00+08:00,0.22662,0.23033,0.22523,0.22913,9844250.5,0.1
2020-02-27 10:00:00+08:00,0.22913,0.23071,0.22811,0.22845,5478501.7,0.1
2020-02-27 10:30:00+08:00,0.22852,0.22908,0.22685,0.22908,4129808.4,0.1
2020-02-27 11:00:00+08:00,0.22905,0.22909,0.22688,0.22841,2973745.9,0.1
2020-02-27 11:30:00+08:00,0.2284,0.23088,0.22806,0.23005,4481521.3,0.1
2020-02-27 12:00:00+08:00,0.23008,0.23041,0.22873,0.22913,3532461.2,0.1
2020-02-27 12:30:00+08:00,0.22908,0.23063,0.2289,0.23039,2823676.3,0.1
2020-02-27 13:00:00+08:00,0.23036,0.23264,0.2303,0.23215,4844334.7,0.1
2020-02-27 13:30:00+08:00,0.23217,0.2334,0.23159,0.23291,4593583.9,0.1
2020-02-27 14:00:00+08:00,0.23281,0.23475,0.23241,0.23287,5547454.9,0.1
2020-02-27 14:30:00+08:00,0.23286,0.23463,0.2326,0.23456,4743356.6,0.1
2020-02-27 15:00:00+08:00,0.23457,0.23575,0.23384,0.23414,4262514.4,0.1
2020-02-27 15:30:00+08:00,0.23418,0.23507,0.23317,0.2347,4154250.4,0.1
2020-02-27 16:00:00+08:00,0.2347,0.23756,0.23377,0.2368,4401659.1,0.1
2020-02-27 16:30:00+08:00,0.23666,0.23816,0.23617,0.23643,4927728.1,0.1
2020-02-27 17:00:00+08:00,0.23636,0.23755,0.236,0.23737,3676749.2,0.1
2020-02-27 17:30:00+08:00,0.23741,0.238,0.23387,0.23413,5169034.2,0.1
2020-02-27 18:00:00+08:00,0.2341,0.23574,0.2334,0.23558,4812558.0,0.1
2020-02-27 18:30:00+08:00,0.2357,0.23688,0.23473,0.23688,3687318.1,0.1
2020-02-27 19:00:00+08:00,0.23677,0.2371,0.23581,0.23584,2705567.7,0.1
2020-02-27 19:30:00+08:00,0.23584,0.23665,0.235,0.23651,2787171.9,0.1
2020-02-27 20:00:00+08:00,0.23639,0.24204,0.23638,0.24044,11326513.1,0.1
2020-02-27 20:30:00+08:00,0.24044,0.24132,0.23582,0.23688,8222227.3,0.1
2020-02-27 21:00:00+08:00,0.23688,0.23934,0.23589,0.23808,4592301.5,0.1
2020-02-27 21:30:00+08:00,0.23808,0.23998,0.23749,0.23902,2195445.2,0.1
2020-02-27 22:00:00+08:00,0.23904,0.2412,0.23844,0.24018,4843070.5,0.1
2020-02-27 22:30:00+08:00,0.24019,0.24105,0.23953,0.24022,3933825.0,0.1
2020-02-27 23:00:00+08:00,0.24021,0.24288,0.24014,0.24276,4996120.8,0.1
2020-02-27 23:30:00+08:00,0.24279,0.24292,0.24076,0.24134,4241659.8,0.1
2020-02-28 00:00:00+08:00,0.24136,0.24548,0.24136,0.24462,6538640.7,0.1
2020-02-28 00:30:00+08:00,0.2446,0.24663,0.24389,0.24594,8696265.6,0.1
2020-02-28 01:00:00+08:00,0.24594,0.24722,0.24415,0.24572,7507410.4,0.1
2020-02-28 01:30:00+08:00,0.24576,0.2462,0.2449,0.246,3050605.7,0.1
2020-02-28 02:00:00+08:00,0.24589,0.24599,0.24447,0.24509,4676926.7,0.1
2020-02-28 02:30:00+08:00,0.24512,0.2453,0.24077,0.24143,6573067.8,0.1
2020-02-28 03:00:00+08:00,0.24145,0.24224,0.24102,0.24124,3858102.0,0.1
2020-02-28 03:30:00+08:00,0.24118,0.24392,0.2408,0.24371,3770705.3,0.1
2020-02-28 04:00:00+08:00,0.2438,0.24391,0.24147,0.24147,2479711.7,0.1
2020-02-28 04:30:00+08:00,0.24147,0.2433,0.24147,0.24261,2884124.5,0.1
2020-02-28 05:00:00+08:00,0.24265,0.24325,0.23942,0.24001,4191173.2,0.1
2020-02-28 05:30:00+08:00,0.24,0.24,0.23533,0.23758,7689841.9,0.1
2020-02-28 06:00:00+08:00,0.23759,0.2386,0.23453,0.2358,5962517.6,0.1
2020-02-28 06:30:00+08:00,0.23578,0.24036,0.23574,0.24002,6134478.9,0.1
2020-02-28 07:00:00+08:00,0.24002,0.24097,0.23931,0.23947,5090952.7,0.1
2020-02-28 07:30:00+08:00,0.23947,0.23952,0.23539,0.2385,6383929.5,0.1
2020-02-28 08:00:00+08:00,0.23854,0.24202,0.23819,0.24141,4589495.0,0.1
2020-02-28 08:30:00+08:00,0.2415,0.24232,0.24025,0.24179,3372373.9,0.1
2020-02-28 09:00:00+08:00,0.24179,0.24189,0.23962,0.24139,4012880.7,0.1
2020-02-28 09:30:00+08:00,0.24139,0.244,0.24104,0.2435,4374189.1,0.1
2020-02-28 10:00:00+08:00,0.2435,0.24397,0.24196,0.2426,4736381.7,0.1
2020-02-28 10:30:00+08:00,0.24264,0.2429,0.24041,0.24151,3191905.5,0.1
2020-02-28 11:00:00+08:00,0.24154,0.24304,0.24085,0.24216,2743227.0,0.1
2020-02-28 11:30:00+08:00,0.24216,0.24234,0.24028,0.24046,2622643.3,0.1
2020-02-28 12:00:00+08:00,0.24045,0.24045,0.239,0.2393,3793542.3,0.1
2020-02-28 12:30:00+08:00,0.2393,0.24136,0.23911,0.23951,2915025.3,0.1
2020-02-28 13:00:00+08:00,0.23952,0.23988,0.23713,0.2376,4422373.2,0.1
2020-02-28 13:30:00+08:00,0.23753,0.23868,0.23701,0.23805,3514411.9,0.1
2020-02-28 14:00:00+08:00,0.23809,0.23836,0.23658,0.23759,3146873.9,0.1
2020-02-28 14:30:00+08:00,0.23746,0.23809,0.23607,0.23702,3441787.2,0.1
2020-02-28 15:00:00+08:00,0.23708,0.23742,0.23367,0.23368,4723704.4,0.1
2020-02-28 15:30:00+08:00,0.23369,0.23497,0.23326,0.23437,3786776.8,0.1
2020-02-28 16:00:00+08:00,0.23437,0.23703,0.23437,0.23596,3512327.2,0.1
2020-02-28 16:30:00+08:00,0.23601,0.23686,0.234,0.23405,2297241.5,0.1
2020-02-28 17:00:00+08:00,0.23403,0.23628,0.2325,0.23565,6666662.8,0.1
2020-02-28 17:30:00+08:00,0.23564,0.23573,0.22885,0.23099,15716053.9,0.1
2020-02-28 18:00:00+08:00,0.23093,0.23289,0.22857,0.23175,7656801.0,0.1
2020-02-28 18:30:00+08:00,0.23184,0.23222,0.2292,0.23216,5775187.7,0.1
2020-02-28 19:00:00+08:00,0.23217,0.23471,0.23131,0.23385,3865639.1,0.1
2020-02-28 19:30:00+08:00,0.23385,0.23408,0.2323,0.23339,3052613.2,0.1
2020-02-28 20:00:00+08:00,0.23339,0.234,0.2285,0.2307,8368455.6,0.1
2020-02-28 20:30:00+08:00,0.2307,0.23275,0.22931,0.23264,5547107.3,0.1
